Title,Description,Section,Keywords
Newsletter Signup Redirect | The Age,,newsletter-signup,
‎Bondi Badlands on Apple Podcasts,‎True Crime · 2021,,
"New Sudoku playable every day on the web, mobile and app as part of your digital subscription",,puzzles,
"Australia news LIVE: Omicron COVID-19 cases grow in NSW as exposure sites listed in Sydney, Central Coast; marathon Victorian pandemic bill debate continues","Authorities say a NSW woman visited a number of retail stores while infectious with the Omicron coronavirus variant, a parliamentary debate over Victoria’s new pandemic laws has run all night and the Prime Minister has vowed the country won’t go back into lockdown.",National,"NATIONAL NEWS LIVE,coronavirus pandemic,coronavirus pandemic live"
COVID-19 still causing classroom chaos as schools head list of cluster sites,"Victoria’s schools are no longer closing at the first sign of a COVID-19 case, but the virus continues to cause plenty of uncertainty and disruption in the classroom.",Victoria,"EDUCATION,coronavirus pandemic,high school,primary school,schools"
House price growth slows to lowest level since January,The Sydney and Melbourne housing boom slowed dramatically in November with new data showing the nation’s property prices had their slowest month of growth since January.,Federal,"PROPERTY PRICES,sydney house prices,melbourne house prices,property market,sydney,australian prudential regulation authority"
"Upper house finishes with pandemic bill after 21-hour, all-night debate","The upper house pulled an all-nighter but has finished debating Victoria’s contentious pandemic bill, which is on its way back to the lower house.",Victoria,"CORONAVIRUS PANDEMIC,victorian parliament"
Heritage row fails to stop Besen’s Fitzroy building,A controversial development by high-profile businessman and philanthropist Daniel Besen near the UNESCO listed Royal Exhibition Building will go ahead.,Companies,"COMMERCIAL REAL ESTATE,urban planning"
Police launch unit to investigate domestic abusers within the force,A new specialist team of police will begin investigating family violence within the force’s own ranks with a focus on conflicts of interest that have plagued enforcement of domestic violence allegations in regional Victoria.,Victoria,"VICTORIA POLICE,domestic violence"
Devastating rise in child drownings during lockdown,The latest drowning report from Life Saving Victoria outlines a heartbreaking rise in children drowning and deaths in home pools and baths.,Victoria,WATER SAFETY
"Meet Marta Ortega Pérez, the most powerful woman in fashion you’ve never heard of","Three months ago, Marta Ortega, the youngest Zara heiress, said she had no plans to take a formal leadership role in her father’s fashion empire. Now she’s taken over.",Fashion,FASHION RETAIL
